Location,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km),AQI Pollution,co,no,no2,o3,so2,pm2_5,pm10,nh3,date
Los Angeles,10039107,3276,89,60000,32,89,5.0,3,580.79,3.05,109.67,3.93,12.4,15.07,26.0,5.0,2024-08-09
Paris,2140526,21383,98,45000,29,35,3.0,2,370.5,6.87,23.31,4.65,2.68,13.36,22.48,1.5,2024-08-09
Tokyo,13929286,6169,100,55000,37,40,2.0,3,293.73,0.62,13.2,100.14,13.71,3.6,4.89,0.9,2024-08-09
Antananarivo,1391433,3097,69,1000,10,1276,0.5,2,594.14,0.29,2.08,56.51,2.41,12.77,21.49,7.73,2024-08-09
Nairobi,4397073,6000,61,1500,12,1795,1.0,5,3017.43,5.7,35.3,39.34,5.48,158.41,218.25,18.49,2024-08-09
Lima,9674755,3220,81,4500,15,1540,1.5,2,527.38,0.39,37.36,19.85,22.89,17.61,33.43,2.95,2024-08-09
